gender,race_ethnicity,parental_level_of_education,test_preparation_course,math_score,reading_score,writing_score
female,group D,associate's degree,none,68,61,89
male,group B,bachelor's degree,none,12,38,87
female,group C,associate's degree,completed,71,51,97
male,group D,associate's degree,completed,83,43,12
male,group C,some high school,none,25,64,25
female,group A,bachelor's degree,none,72,45,27
male,group A,high school,none,11,18,96
female,group B,some college,none,45,96,22
male,group B,bachelor's degree,completed,34,91,33
female,group B,master's degree,none,22,67,71
male,group A,master's degree,completed,25,99,86
male,group C,master's degree,completed,77,66,22
male,group C,associate's degree,none,28,75,51
male,group B,high school,completed,61,17,64
female,group D,some high school,none,90,27,48
male,group C,high school,completed,86,38,83
male,group C,high school,completed,24,51,20
male,group A,some college,none,21,89,37
female,group A,master's degree,none,73,45,69
male,group B,some high school,none,99,90,15
male,group A,associate's degree,completed,26,40,55
male,group A,bachelor's degree,none,60,35,92
male,group B,some college,completed,60,30,70
female,group C,master's degree,completed,72,89,15
female,group B,some college,none,63,31,25
male,group C,some college,completed,13,17,56
female,group C,some high school,none,89,97,55
male,group D,associate's degree,none,93,50,62
male,group C,master's degree,completed,34,64,85
male,group A,some college,none,65,40,93
male,group B,some college,completed,59,54,58
male,group C,some high school,none,85,93,60
female,group B,master's degree,completed,61,59,100
female,group A,master's degree,completed,17,27,58
male,group D,some high school,completed,74,100,92
female,group B,bachelor's degree,completed,54,64,45
female,group B,some high school,none,65,87,62
female,group B,bachelor's degree,none,44,39,25
male,group D,some high school,completed,35,43,49
female,group C,high school,none,60,99,31
female,group C,some high school,completed,54,67,63
male,group A,bachelor's degree,none,23,11,67
female,group D,some high school,completed,21,16,59
male,group C,associate's degree,completed,96,21,86
female,group B,high school,completed,52,29,63
female,group C,some high school,completed,50,69,77
male,group A,some college,completed,44,26,33
male,group B,master's degree,completed,17,24,98
male,group B,some high school,completed,95,46,71
female,group A,associate's degree,none,96,22,21
male,group C,master's degree,none,79,75,94
male,group A,some high school,completed,66,14,98
male,group C,associate's degree,none,75,19,83
female,group C,high school,none,38,22,83
female,group B,some high school,completed,37,36,59
male,group A,high school,completed,53,47,31
male,group D,some high school,completed,20,79,39
female,group C,high school,none,77,19,36
female,group C,master's degree,completed,92,63,100
male,group A,high school,completed,54,52,52
male,group D,bachelor's degree,none,82,13,64
male,group A,master's degree,completed,96,43,10
male,group D,master's degree,completed,53,67,51
male,group D,bachelor's degree,completed,65,52,87
male,group A,some high school,none,81,45,70
female,group C,high school,none,25,73,51
female,group C,high school,none,45,23,89
female,group A,some college,none,71,94,56
female,group A,bachelor's degree,completed,77,68,81
male,group B,some high school,none,67,31,68
male,group D,associate's degree,completed,19,86,100
female,group B,master's degree,completed,57,98,68
male,group B,master's degree,none,53,58,22
male,group C,associate's degree,none,12,10,55
female,group D,bachelor's degree,completed,66,12,16
female,group C,some high school,completed,42,76,80
female,group A,some college,completed,15,43,48
male,group A,bachelor's degree,completed,36,46,45
female,group C,master's degree,completed,11,75,24
female,group A,master's degree,completed,37,68,59
male,group D,some high school,none,61,26,26
female,group B,master's degree,completed,87,19,67
female,group A,associate's degree,completed,74,62,84
male,group C,associate's degree,completed,23,69,59
female,group D,master's degree,completed,99,99,99
female,group D,some college,none,81,32,38
male,group B,some college,completed,74,42,42
female,group D,bachelor's degree,completed,23,58,82
female,group B,some college,none,70,31,19
female,group B,master's degree,completed,36,21,66
female,group C,master's degree,completed,85,28,53
female,group B,associate's degree,completed,75,88,97
female,group A,master's degree,completed,91,72,28
female,group A,master's degree,completed,76,73,80
male,group D,associate's degree,none,87,75,22
male,group B,high school,completed,66,16,61
female,group B,associate's degree,completed,43,28,59
male,group D,master's degree,none,77,35,79
female,group B,associate's degree,completed,67,39,61
female,group D,associate's degree,none,38,81,62
male,group C,some high school,completed,94,59,64
female,group C,some college,completed,68,42,89
female,group D,bachelor's degree,completed,81,41,61
female,group C,master's degree,completed,94,46,93
female,group C,some college,completed,11,55,83
male,group B,master's degree,none,14,72,55
female,group C,bachelor's degree,none,34,96,20
female,group D,some high school,none,98,59,35
female,group A,some college,none,10,50,81
male,group B,some high school,none,71,15,97
female,group B,associate's degree,none,25,33,37
male,group C,some high school,none,48,65,48
female,group D,master's degree,none,66,36,71
male,group D,high school,none,18,97,17
female,group B,some high school,completed,85,60,46
female,group C,high school,completed,43,86,34
female,group D,associate's degree,completed,31,23,92
female,group D,some high school,completed,40,62,29
female,group C,high school,none,84,54,59
female,group B,high school,completed,10,96,42
female,group B,bachelor's degree,none,68,46,37
male,group C,some college,completed,97,88,73
female,group D,master's degree,completed,73,13,33
male,group D,some high school,completed,45,88,71
female,group D,bachelor's degree,none,82,61,63
male,group C,associate's degree,none,95,56,84
female,group A,some college,completed,15,23,46
female,group D,associate's degree,none,19,64,21
male,group C,some high school,completed,81,43,46
male,group B,master's degree,completed,27,94,24
female,group B,some college,none,54,87,73
male,group C,bachelor's degree,none,57,31,10
male,group A,master's degree,completed,40,95,27
male,group D,associate's degree,none,98,97,46
male,group D,bachelor's degree,none,57,58,76
female,group C,master's degree,none,89,34,63
male,group B,high school,completed,86,79,35
female,group D,some high school,completed,98,38,82
male,group C,some high school,completed,14,84,98
male,group A,some high school,completed,52,15,47
male,group C,associate's degree,completed,54,92,73
male,group A,some college,completed,69,84,20
male,group A,some high school,completed,90,86,21
female,group B,bachelor's degree,none,56,88,20
male,group A,some college,completed,30,40,57
female,group B,some high school,none,38,80,72
male,group C,associate's degree,none,50,25,91
male,group C,some high school,none,93,96,23
male,group C,associate's degree,completed,52,56,88
female,group A,some college,completed,53,13,14
male,group C,high school,completed,94,80,46
male,group C,some high school,completed,57,57,95
female,group D,bachelor's degree,none,14,85,22
male,group C,some high school,none,50,59,42
male,group B,some high school,completed,57,66,99
female,group B,some college,none,78,96,50
female,group D,some high school,none,15,66,79
male,group A,high school,completed,43,93,37
female,group A,some college,none,95,18,81
female,group C,high school,completed,96,47,80
female,group A,high school,none,25,38,56
female,group C,high school,completed,27,66,68
male,group D,bachelor's degree,completed,92,72,13
female,group C,high school,completed,98,77,54
female,group B,some high school,completed,41,75,33
male,group B,high school,completed,44,98,48
female,group D,high school,completed,19,56,54
male,group C,some high school,none,63,30,16
male,group A,associate's degree,completed,99,79,79
male,group B,some high school,completed,75,78,67
male,group A,associate's degree,none,20,30,22
female,group A,some college,completed,73,55,33
female,group D,some college,none,64,55,48
female,group D,some college,none,23,97,52
female,group D,some high school,none,71,61,24
male,group D,associate's degree,none,98,42,11
male,group A,some high school,completed,32,47,79
female,group B,master's degree,completed,90,88,16
male,group A,high school,completed,99,93,40
female,group B,associate's degree,none,74,39,31
male,group C,high school,completed,62,33,67
male,group D,high school,none,35,87,19
female,group D,some high school,completed,14,52,11
male,group B,some college,none,46,22,85
male,group D,some high school,completed,16,89,23
female,group B,some high school,completed,55,66,82
female,group D,bachelor's degree,completed,34,61,14
female,group A,some college,completed,34,57,87
female,group D,high school,completed,93,24,97
male,group C,master's degree,completed,72,24,61
female,group A,some college,none,59,69,80
female,group D,high school,none,40,80,51
male,group D,some high school,completed,74,67,33
female,group D,high school,none,11,68,92
male,group A,some high school,none,72,11,61
male,group B,some high school,none,36,71,73
male,group A,some college,completed,25,58,79
female,group D,some college,completed,98,72,90
female,group D,some college,none,34,17,48
male,group C,some college,completed,60,54,16
male,group D,some high school,none,10,40,67
female,group C,some college,none,56,86,36
female,group A,some college,none,56,86,19
male,group C,bachelor's degree,none,60,37,44
female,group B,some college,completed,48,51,28
female,group D,some high school,completed,30,90,96
female,group A,some college,completed,94,52,78
female,group A,some high school,completed,11,30,49
female,group A,some high school,none,55,89,45
female,group A,high school,none,32,70,23
female,group B,master's degree,completed,45,31,16
male,group B,some college,none,31,99,83
female,group B,bachelor's degree,none,24,11,39
female,group D,associate's degree,completed,100,78,36
male,group A,some college,completed,87,60,80
male,group C,high school,completed,54,27,77
female,group B,some college,none,40,87,83
female,group D,some college,none,67,22,93
female,group A,some college,none,57,57,41
male,group D,high school,none,94,12,84
male,group C,high school,none,94,48,80
female,group B,some college,completed,13,75,78
female,group C,master's degree,completed,85,83,40
female,group B,master's degree,completed,43,66,58
female,group D,some college,completed,35,89,48
female,group B,some high school,completed,51,95,46
female,group D,master's degree,completed,88,68,82
male,group C,bachelor's degree,completed,17,75,33
male,group D,master's degree,completed,94,83,33
female,group B,master's degree,none,85,30,96
male,group B,some college,completed,85,22,86
male,group D,some college,completed,56,58,33
male,group C,master's degree,completed,79,62,68
male,group A,bachelor's degree,completed,57,92,100
female,group B,high school,none,93,22,60
male,group D,master's degree,completed,18,60,84
female,group D,high school,none,34,54,86
female,group C,bachelor's degree,completed,34,83,78
female,group A,bachelor's degree,none,97,60,48
female,group B,bachelor's degree,completed,89,17,51
male,group C,bachelor's degree,completed,99,91,41
male,group A,master's degree,completed,67,36,65
female,group A,master's degree,none,20,50,41
male,group C,bachelor's degree,completed,60,57,69
male,group C,high school,completed,32,99,90
male,group B,some college,completed,41,20,72
female,group C,associate's degree,completed,54,67,74
female,group B,some high school,completed,35,65,76
female,group C,some college,completed,61,96,49
male,group C,master's degree,none,34,53,65
male,group D,bachelor's degree,completed,51,68,41
male,group D,associate's degree,completed,15,53,31
male,group C,some college,none,92,96,46
female,group A,some college,completed,66,44,27
female,group D,associate's degree,none,61,92,73
female,group A,some high school,none,21,73,40
female,group D,associate's degree,completed,12,19,55
female,group B,some high school,completed,81,86,77
female,group D,bachelor's degree,completed,70,54,34
male,group D,high school,none,16,86,28
male,group C,bachelor's degree,completed,85,64,41
male,group A,some college,completed,53,42,90
male,group D,master's degree,completed,91,93,21
male,group C,associate's degree,none,86,78,38
female,group D,some high school,completed,93,42,29
male,group D,associate's degree,none,11,21,46
male,group D,some high school,none,92,33,99
male,group C,bachelor's degree,none,38,94,64
male,group C,master's degree,completed,69,100,19
female,group C,master's degree,none,44,16,71
male,group D,master's degree,none,86,24,87
female,group A,some college,none,38,67,87
male,group A,bachelor's degree,none,30,99,31
male,group B,some high school,none,19,27,94
male,group C,high school,completed,36,96,15
female,group B,bachelor's degree,completed,64,99,18
female,group D,some high school,none,28,36,48
male,group C,bachelor's degree,none,80,82,74
male,group A,bachelor's degree,none,75,31,97
female,group A,bachelor's degree,none,54,34,11
male,group D,some college,none,94,74,47
female,group D,master's degree,completed,87,47,68
male,group D,associate's degree,completed,45,93,46
male,group C,some high school,none,97,41,99
male,group A,some high school,none,17,85,15
male,group D,some college,completed,39,95,60
female,group A,bachelor's degree,none,31,64,100
female,group D,high school,none,13,75,47
female,group A,bachelor's degree,none,52,91,73
male,group C,associate's degree,completed,62,99,76
female,group B,some high school,none,51,75,75
male,group C,high school,completed,86,26,79
female,group D,high school,none,91,43,24
male,group B,some high school,completed,72,34,40
male,group B,associate's degree,completed,64,53,31
female,group B,bachelor's degree,none,72,15,30
female,group B,some high school,completed,30,60,28
male,group A,some high school,none,40,52,74
female,group B,bachelor's degree,completed,66,33,32
female,group B,associate's degree,completed,37,80,37
female,group D,some high school,none,76,59,53
female,group D,associate's degree,completed,84,56,42
male,group C,high school,completed,35,42,21
female,group B,associate's degree,completed,12,39,19
male,group C,bachelor's degree,completed,88,28,47
male,group D,some high school,none,21,53,69
female,group B,bachelor's degree,none,34,83,95
female,group B,bachelor's degree,none,53,47,68
male,group A,master's degree,completed,25,63,12
female,group D,some college,none,50,95,53
male,group B,some high school,completed,64,29,49
female,group D,some high school,none,40,97,18
male,group A,high school,completed,16,90,62
female,group D,master's degree,none,86,44,23
female,group B,associate's degree,none,85,98,24
male,group C,high school,none,82,48,14
male,group A,associate's degree,completed,19,90,40
female,group A,associate's degree,completed,32,91,72
male,group A,associate's degree,none,36,31,94
female,group A,master's degree,completed,57,12,30
female,group A,associate's degree,none,17,67,72
female,group D,bachelor's degree,completed,94,18,46
female,group C,some college,none,83,65,71
female,group A,master's degree,none,58,52,22
female,group D,some college,none,68,94,47
male,group B,associate's degree,none,12,95,27
male,group C,some college,completed,63,27,46
male,group C,bachelor's degree,completed,37,83,18
male,group C,some college,none,67,55,86
female,group B,master's degree,completed,13,70,39
male,group A,associate's degree,none,77,64,34
male,group A,some high school,completed,30,63,54
male,group C,associate's degree,completed,33,57,51
female,group D,high school,none,21,83,51
male,group B,bachelor's degree,completed,68,84,11
male,group D,some high school,none,60,83,97
male,group D,master's degree,none,54,53,53
female,group D,associate's degree,completed,76,86,64
female,group A,some high school,none,83,35,26
male,group C,bachelor's degree,none,36,26,14
female,group A,some college,none,15,60,50
female,group D,bachelor's degree,none,60,49,61
female,group A,high school,completed,10,88,54
female,group D,some college,none,51,74,17
male,group C,master's degree,none,94,15,51
male,group C,some college,completed,50,42,65
male,group A,associate's degree,none,71,40,86
male,group C,associate's degree,none,72,11,35
female,group C,some high school,completed,78,67,36
female,group B,high school,none,66,35,88
male,group C,associate's degree,none,69,75,66
male,group B,associate's degree,completed,25,59,64
female,group B,associate's degree,none,80,99,94
male,group D,bachelor's degree,completed,81,83,41
female,group A,some high school,completed,16,29,81
male,group A,some college,none,89,10,93
male,group D,high school,completed,63,25,36
female,group B,master's degree,completed,28,94,55
male,group D,some college,completed,72,41,99
male,group D,high school,completed,85,44,60
female,group B,some high school,completed,62,16,43
male,group A,some high school,none,88,39,77
female,group B,associate's degree,completed,91,90,44
male,group C,master's degree,none,82,93,34
female,group B,master's degree,none,96,74,29
female,group C,master's degree,none,47,19,25
female,group D,high school,completed,44,48,40
male,group C,some high school,none,88,73,82
female,group B,master's degree,none,95,16,32
male,group B,bachelor's degree,completed,91,31,27
male,group C,master's degree,none,76,56,27
male,group D,some college,completed,14,54,89
female,group C,associate's degree,none,13,60,100
male,group B,high school,completed,74,95,40
male,group D,master's degree,completed,69,14,14
female,group D,some high school,completed,94,13,46
female,group A,high school,completed,63,10,75
female,group C,bachelor's degree,completed,39,36,15
male,group D,high school,none,12,13,47
female,group C,some high school,completed,10,66,30
female,group C,some high school,none,52,25,73
female,group B,some high school,completed,82,44,59
female,group A,some college,completed,74,29,91
male,group B,high school,completed,59,15,86
male,group C,master's degree,completed,96,92,79
female,group C,some high school,none,85,49,20
female,group D,master's degree,completed,40,48,44
female,group D,master's degree,none,28,94,53
female,group C,associate's degree,none,14,100,90
male,group D,some high school,completed,76,60,62
female,group B,high school,none,68,61,85
male,group C,high school,completed,19,23,81
female,group C,high school,completed,81,86,59
male,group B,high school,completed,54,40,94
female,group B,associate's degree,none,12,32,52
male,group B,bachelor's degree,completed,98,18,45
female,group B,high school,completed,79,15,68
male,group B,some college,none,23,74,30
female,group D,bachelor's degree,completed,81,31,42
female,group A,some high school,none,10,64,79
male,group B,some high school,completed,77,50,30
male,group A,associate's degree,completed,84,96,41
female,group C,some high school,completed,86,97,78
male,group B,master's degree,none,64,65,66
male,group A,bachelor's degree,completed,96,69,69
female,group C,some college,completed,83,100,62
female,group B,master's degree,none,99,83,82
male,group B,some college,completed,67,69,73
male,group D,associate's degree,completed,83,77,75
male,group A,some college,completed,35,16,67
female,group A,bachelor's degree,none,72,14,70
female,group C,master's degree,none,79,83,85
male,group B,some college,completed,90,74,71
male,group D,some high school,none,36,12,84
female,group D,some college,completed,69,24,42
male,group C,some high school,completed,96,10,62
male,group B,bachelor's degree,none,87,57,29
female,group D,master's degree,none,24,68,92
male,group A,bachelor's degree,completed,17,81,27
male,group B,high school,none,23,96,42
female,group B,some college,completed,59,54,40
female,group B,bachelor's degree,completed,37,62,57
male,group D,high school,none,72,14,65
female,group A,bachelor's degree,completed,96,70,93
female,group A,high school,completed,70,52,11
female,group A,some college,completed,42,97,91
female,group A,bachelor's degree,none,60,82,52
female,group D,some high school,none,63,46,29
male,group D,some college,completed,53,54,31
female,group B,some college,none,53,90,18
female,group C,associate's degree,none,32,74,45
female,group B,bachelor's degree,none,70,86,38
female,group C,bachelor's degree,none,95,30,97
female,group A,bachelor's degree,none,91,74,82
male,group C,associate's degree,completed,23,83,88
female,group C,some high school,completed,66,72,29
male,group C,high school,completed,59,43,33
male,group C,master's degree,none,15,81,30
female,group B,master's degree,none,52,15,80
male,group B,bachelor's degree,completed,62,58,51
female,group A,associate's degree,none,89,77,95
male,group C,associate's degree,completed,12,21,36
female,group C,high school,none,73,32,96
female,group A,bachelor's degree,completed,80,57,34
female,group A,bachelor's degree,completed,87,46,100
male,group C,master's degree,completed,65,57,23
male,group D,some high school,none,86,15,54
female,group B,bachelor's degree,none,42,90,65
male,group A,some high school,none,70,78,41
female,group D,bachelor's degree,none,90,16,47
male,group B,master's degree,completed,68,18,81
male,group A,some high school,completed,22,44,91
male,group D,some high school,completed,82,20,56
male,group D,high school,completed,12,34,29
female,group C,some college,completed,82,55,56
male,group D,bachelor's degree,completed,31,11,15
male,group D,some high school,none,32,96,72
male,group C,master's degree,completed,99,50,12
female,group D,bachelor's degree,completed,27,16,22
male,group B,some high school,completed,72,35,74
male,group C,some high school,none,36,98,78
female,group D,master's degree,completed,21,44,10
female,group B,high school,completed,53,88,45
male,group C,associate's degree,none,29,79,16
female,group D,bachelor's degree,completed,28,16,39
female,group A,associate's degree,none,98,17,78
female,group C,some college,none,92,80,73
female,group B,some high school,none,33,68,55
female,group C,some college,completed,54,70,86
male,group B,some high school,none,70,66,35
female,group A,high school,completed,82,11,19
female,group A,bachelor's degree,completed,89,51,79
male,group B,high school,none,78,20,70
female,group B,master's degree,none,28,89,18
female,group C,high school,none,89,86,61
male,group D,some college,completed,20,34,89
female,group B,some college,completed,64,73,38
female,group D,some high school,none,57,68,48
male,group D,some high school,none,55,84,31
male,group D,some high school,none,58,97,31
female,group B,high school,none,64,52,93
female,group B,some high school,none,81,56,35
male,group B,associate's degree,none,60,58,17
male,group B,bachelor's degree,none,28,78,49
male,group D,high school,completed,15,90,91
male,group C,high school,none,81,56,41
female,group D,high school,completed,45,46,50
female,group C,some high school,none,76,23,87
female,group D,master's degree,none,32,19,35
male,group A,some college,none,98,39,93
female,group A,master's degree,none,65,63,68
female,group D,bachelor's degree,completed,27,13,35
male,group C,associate's degree,none,63,23,86
male,group B,bachelor's degree,none,70,60,63
female,group A,associate's degree,none,24,75,54
male,group B,master's degree,none,44,77,22
male,group C,some high school,none,42,34,89
female,group D,master's degree,completed,71,65,45
female,group D,some college,completed,55,10,53
male,group B,some college,none,62,55,77
male,group A,bachelor's degree,completed,71,42,28
male,group A,high school,completed,74,54,35
male,group C,high school,none,11,55,30
male,group C,master's degree,none,75,51,88
female,group B,some college,none,86,73,64
male,group A,master's degree,completed,78,28,81
female,group A,some high school,none,100,60,65
male,group C,bachelor's degree,none,31,28,99
male,group D,bachelor's degree,none,35,18,11
male,group A,bachelor's degree,completed,93,89,70
female,group A,some college,none,88,70,47
female,group D,associate's degree,completed,40,68,81
female,group D,master's degree,none,27,43,34
male,group C,some high school,completed,52,77,60
female,group C,high school,completed,63,12,73
female,group C,some high school,completed,33,76,58
male,group B,high school,completed,62,43,55
female,group C,high school,completed,25,74,76
female,group A,bachelor's degree,completed,65,16,74
female,group B,some high school,completed,46,64,95
female,group D,high school,completed,56,30,55
female,group B,some high school,none,53,69,38
female,group C,associate's degree,none,87,11,52
male,group D,master's degree,none,85,66,69
male,group A,master's degree,none,69,66,87
male,group D,some high school,none,15,32,57
male,group B,some college,none,52,41,77
female,group A,associate's degree,none,75,91,62
female,group C,associate's degree,none,26,15,98
male,group C,associate's degree,completed,97,76,22
male,group D,high school,none,42,57,91
male,group B,some college,completed,47,29,16
male,group B,some college,none,38,77,29
male,group C,high school,none,63,63,93
female,group A,associate's degree,none,32,21,61
female,group C,high school,none,93,25,32
female,group A,some high school,completed,47,85,91
male,group A,bachelor's degree,completed,85,39,30
female,group A,bachelor's degree,none,82,97,54
male,group C,bachelor's degree,completed,84,49,50
female,group A,bachelor's degree,completed,80,87,71
male,group A,some high school,none,93,59,13
male,group B,bachelor's degree,none,13,23,28
female,group B,some high school,completed,74,10,64
female,group C,associate's degree,none,19,52,14
female,group C,master's degree,completed,56,77,69
female,group A,high school,completed,93,36,40
male,group A,master's degree,completed,93,97,57
male,group B,master's degree,completed,31,44,86
female,group D,associate's degree,completed,44,20,80
male,group D,some high school,none,40,97,44
male,group D,some college,none,73,67,36
female,group D,master's degree,completed,35,42,25
male,group C,bachelor's degree,completed,26,78,83
male,group D,high school,none,80,78,10
male,group B,bachelor's degree,completed,11,81,30
female,group C,associate's degree,completed,23,86,46
male,group B,master's degree,completed,31,48,89
female,group B,associate's degree,completed,73,90,13
male,group C,high school,none,29,30,63
female,group A,bachelor's degree,none,86,41,69
male,group A,master's degree,none,46,19,15
female,group C,master's degree,none,44,75,56
female,group D,some college,none,93,40,70
female,group B,some college,completed,22,82,67
male,group B,bachelor's degree,completed,57,14,87
male,group D,associate's degree,completed,56,42,30
male,group B,some high school,completed,80,90,72
female,group D,some college,none,79,33,51
male,group A,bachelor's degree,none,24,96,10
male,group A,some college,completed,85,59,97
male,group A,associate's degree,completed,22,89,54
female,group B,associate's degree,completed,57,30,67
female,group C,high school,completed,56,57,42
female,group C,some high school,none,84,100,100
female,group D,bachelor's degree,none,46,54,93
female,group D,master's degree,none,45,70,16
male,group D,bachelor's degree,none,88,58,10
male,group A,some college,none,58,60,13
male,group B,some high school,completed,69,69,75
male,group C,some high school,none,31,56,16
female,group B,high school,none,57,94,69
female,group D,bachelor's degree,none,97,78,24
female,group B,high school,completed,69,89,90
male,group D,associate's degree,completed,58,91,58
male,group C,associate's degree,completed,95,90,95
male,group A,some high school,none,93,90,34
male,group B,some college,completed,63,92,62
female,group B,associate's degree,none,52,70,42
female,group D,master's degree,none,14,58,49
male,group A,master's degree,none,59,28,69
male,group C,high school,completed,71,72,57
female,group B,high school,none,11,85,59
male,group A,some high school,none,38,13,21
female,group C,bachelor's degree,none,58,94,96
male,group B,some high school,none,14,48,20
